@RELATION priming_system

@ATTRIBUTE temperature  NUMERIC
@ATTRIBUTE QB   		NUMERIC
@ATTRIBUTE QB03         NUMERIC
@ATTRIBUTE MZ03         NUMERIC
@ATTRIBUTE bridge_resistance NUMERIC
@ATTRIBUTE electric_strength NUMERIC
@ATTRIBUTE class        {合格,不合格}

@DATA
15,16,57,59.46,0.95,492.79,不合格
15,17,59,57.43,1.01,515.50,合格
15,14,59,62.16,1.08,507.14,合格
15,17,59,62.33,1.00,486.97,不合格
15,14,59,57.54,1.01,516.40,合格
15,17,59,62.88,1.10,525.00,合格
15,18,58,57.95,0.91,507.21,合格
15,16,61,62.05,1.15,497.92,合格
15,17,62,62.77,0.98,511.32,合格
15,14,61,62.17,0.98,511.04,合格
15,14,63,62.62,0.97,506.28,不合格
15,15,57,62.15,1.04,503.76,不合格
15,17,57,57.50,1.00,518.18,合格
15,16,59,57.70,1.17,524.54,合格
15,16,62,58.60,0.96,490.88,不合格
15,17,63,57.34,1.08,517.87,不合格
15,17,63,57.21,1.14,496.32,不合格
15,16,63,57.12,1.13,515.95,不合格
15,16,62,62.92,1.17,512.23,合格
15,15,59,57.16,1.20,483.20,合格
15,14,59,62.62,1.19,504.66,合格
15,16,59,60.04,1.00,516.06,不合格
15,18,58,57.74,1.16,491.16,合格
15,15,61,57.68,1.08,491.14,不合格
15,16,60,59.55,1.05,514.84,不合格
15,16,61,58.34,1.06,488.79,不合格
15,16,57,59.66,1.10,490.20,不合格
15,15,58,61.61,1.09,512.94,不合格
15,17,62,62.08,1.07,480.05,不合格
15,18,57,62.37,1.13,494.36,合格
15,16,59,61.96,1.10,514.43,不合格
15,17,61,57.67,1.08,524.37,合格
15,15,61,57.62,1.15,478.86,合格
15,18,63,57.07,0.94,492.56,合格
15,18,63,62.20,1.16,494.09,合格
15,18,62,61.87,0.95,512.64,不合格
15,14,62,62.34,1.14,516.04,合格
15,16,58,61.33,0.98,519.73,不合格
15,15,59,60.64,1.00,495.46,不合格
15,18,59,57.21,1.12,479.57,合格
15,18,62,61.99,1.09,484.89,不合格
15,14,57,61.84,1.09,518.34,不合格
15,17,63,62.88,1.16,482.10,合格
15,15,59,57.17,1.11,519.50,合格
15,16,60,62.44,0.95,507.37,合格
15,15,59,57.55,0.98,487.90,合格
15,15,62,61.98,0.96,484.81,不合格
15,16,61,62.39,1.15,497.14,合格
15,16,57,57.78,0.99,481.58,不合格
15,17,60,62.54,1.03,482.19,不合格
15,16,61,58.15,1.09,490.44,不合格
15,16,59,57.42,1.01,521.40,合格
15,17,61,62.37,1.04,479.29,合格
15,15,63,57.69,1.16,514.76,合格
15,15,62,57.99,1.14,501.12,合格
15,18,63,60.79,1.00,517.46,不合格
15,17,61,57.04,0.94,515.27,合格
15,18,57,61.84,1.09,507.78,不合格
15,18,59,62.29,1.04,500.62,不合格
15,16,62,62.53,0.94,516.32,合格
15,17,63,58.39,1.01,506.38,不合格
15,15,63,59.44,1.03,506.47,不合格
15,17,62,59.65,0.95,489.46,不合格
15,16,59,61.31,1.01,481.29,不合格
15,17,61,61.63,1.01,489.60,不合格
15,14,60,62.66,1.13,492.23,合格
15,15,60,61.41,0.97,481.85,不合格
15,14,60,62.80,1.14,515.09,不合格
15,17,57,57.18,1.10,509.49,不合格
15,15,59,57.82,0.94,499.15,合格
15,15,60,57.18,1.06,478.55,合格
15,17,61,61.94,1.05,511.03,不合格
15,14,59,57.92,1.03,501.93,合格
15,16,57,62.44,1.11,493.93,合格
15,14,62,57.60,1.12,507.70,合格
15,14,59,57.76,1.11,519.04,合格
15,16,59,61.32,1.00,499.89,不合格
15,14,58,58.85,1.02,504.09,不合格
15,16,57,62.41,1.14,487.14,合格
15,18,57,57.82,1.08,503.73,合格
15,14,62,62.40,1.00,482.81,合格
15,17,62,59.54,0.96,489.85,不合格
15,16,61,57.07,1.06,489.26,不合格
15,15,59,59.94,1.08,505.88,不合格
15,15,60,57.60,0.93,485.18,合格
15,16,63,57.04,0.98,505.60,合格
15,15,59,57.08,1.03,498.62,不合格
15,16,63,58.17,1.10,509.92,不合格
15,16,62,57.83,0.95,497.98,合格
15,15,62,57.14,1.03,498.58,不合格
15,17,57,57.24,1.02,480.41,合格
15,18,62,62.48,0.99,507.39,不合格
15,17,63,62.04,0.99,488.75,合格
15,14,61,57.44,1.20,514.31,合格
15,16,59,57.06,1.18,518.36,合格
15,18,59,57.09,1.08,512.54,合格
15,14,63,60.01,1.12,506.83,不合格
15,18,62,62.61,0.96,484.75,不合格
15,15,62,61.66,0.96,491.50,不合格
15,15,60,61.01,1.04,511.20,不合格
15,16,61,57.56,1.07,500.16,合格
15,17,61,59.89,0.99,512.40,不合格
15,16,60,57.54,1.15,507.57,合格
15,16,62,62.77,1.19,512.38,合格
15,16,62,62.76,1.15,507.02,合格
15,14,57,59.20,0.99,499.60,不合格
15,14,60,62.35,1.18,513.35,合格
15,18,59,60.16,0.95,510.88,不合格
15,18,58,62.69,1.06,487.22,合格
15,18,59,62.65,0.95,518.21,合格
15,16,61,62.10,1.12,523.31,合格
15,15,57,59.84,1.03,510.24,不合格
15,16,60,57.76,1.00,513.13,不合格
15,18,63,62.58,1.17,508.09,合格
15,14,61,57.33,1.02,506.11,不合格
15,17,61,57.88,1.16,479.34,合格
15,14,62,62.15,1.07,519.91,不合格
15,18,61,62.07,0.97,512.68,不合格
15,17,58,62.25,0.94,509.86,合格
15,16,59,57.09,1.15,486.33,合格
15,18,58,62.29,1.02,508.81,合格
15,14,62,60.61,1.09,516.45,不合格
15,18,62,59.13,1.00,492.94,不合格
15,16,60,58.68,1.11,511.05,不合格
15,15,58,62.60,0.95,496.62,合格
15,16,63,61.21,0.96,506.31,不合格
15,15,62,62.11,1.14,490.06,不合格
15,17,58,57.85,1.06,523.25,合格
15,17,62,59.33,1.03,511.58,不合格
15,17,62,57.66,1.20,499.34,合格
15,17,59,57.07,0.99,483.56,合格
15,17,62,61.64,0.99,492.79,不合格
15,18,62,57.62,1.15,504.01,合格
15,15,60,59.23,1.02,509.78,不合格
15,14,59,61.47,0.96,500.55,不合格
15,18,63,62.89,0.96,503.39,不合格
15,18,63,57.38,0.93,500.03,合格
15,18,59,62.46,0.96,498.91,合格
15,18,61,61.52,0.97,518.57,不合格
15,15,59,62.23,1.16,488.29,合格
15,18,57,61.68,1.08,482.94,不合格
15,16,61,60.25,1.00,481.19,不合格
15,14,61,57.46,1.20,490.31,合格
15,15,58,62.46,1.00,490.85,合格
15,16,61,57.97,1.10,516.89,合格
15,14,57,60.92,1.10,495.01,不合格
15,14,62,57.08,0.95,492.12,合格
15,17,57,59.47,1.12,514.52,不合格
15,18,63,57.12,0.97,493.42,不合格
15,14,63,62.05,1.14,514.51,不合格
15,16,61,57.30,1.04,495.93,不合格
15,16,57,59.03,1.13,491.77,不合格
15,16,58,57.84,1.04,497.51,合格
15,14,58,57.21,1.18,507.60,合格
15,18,62,57.82,1.05,505.96,合格
15,16,59,62.86,1.19,523.14,合格
15,18,62,57.11,0.98,484.03,合格
15,17,59,57.01,0.95,480.05,合格
15,16,60,57.17,1.00,493.64,不合格
15,15,62,57.22,1.13,519.62,合格
15,18,59,57.46,1.15,513.26,不合格
15,16,59,60.93,1.05,502.97,不合格
15,16,60,57.07,1.11,491.00,合格
15,18,61,62.79,1.15,489.67,不合格
15,14,58,58.89,0.98,506.93,不合格
15,14,58,62.90,1.14,511.75,合格
15,14,62,57.19,0.95,501.45,合格
15,15,57,57.66,1.19,511.08,合格
15,17,60,57.59,0.91,491.75,合格
15,14,57,57.28,1.10,487.22,不合格
15,15,57,60.98,1.06,519.88,不合格
15,18,59,60.48,1.07,506.79,不合格
15,14,61,57.46,0.97,511.31,不合格
15,17,58,59.07,1.02,518.19,不合格
15,17,57,62.03,1.09,518.74,不合格
15,14,61,62.46,0.99,519.37,合格
15,15,59,62.47,1.09,488.85,合格
15,16,62,62.22,1.07,492.56,不合格
15,17,58,57.94,1.03,485.53,合格
15,14,61,60.26,1.01,517.35,不合格
15,18,62,60.05,1.05,506.12,不合格
15,18,59,62.56,0.94,505.04,合格
15,15,62,61.53,1.13,508.35,不合格
15,16,63,57.66,1.14,511.46,合格
15,17,59,57.11,0.98,512.88,不合格
15,18,60,59.32,1.01,515.29,不合格
15,18,61,62.99,1.03,486.20,合格
15,18,60,57.09,0.93,501.11,合格
15,18,63,61.03,1.10,505.60,不合格
15,14,59,62.17,0.98,521.00,合格
15,15,58,57.55,0.91,502.02,合格
15,15,59,62.00,1.16,477.89,合格
15,18,60,57.41,1.02,500.59,合格
15,16,60,62.79,1.02,481.08,合格
15,15,60,58.06,1.04,480.12,不合格
15,15,57,62.84,0.92,520.88,合格
15,16,57,57.08,1.09,479.58,合格
15,18,61,62.03,1.17,497.52,合格
15,17,63,57.16,1.18,493.12,合格
15,18,60,58.33,1.05,516.61,不合格
15,16,63,57.46,1.02,493.98,合格
15,16,61,57.25,0.92,478.51,合格
15,17,62,59.09,1.08,511.69,不合格
15,15,62,61.31,0.98,491.98,不合格
15,16,63,60.40,1.07,503.54,不合格
15,17,60,58.45,1.11,518.56,不合格
15,15,61,62.53,1.05,507.22,不合格
15,17,62,62.75,0.96,511.22,不合格
15,15,59,62.37,1.20,519.15,合格
15,17,59,57.01,0.94,486.85,合格
15,15,57,59.03,0.99,484.75,不合格
15,14,63,62.16,1.16,489.82,合格
15,14,61,62.50,1.03,504.25,合格
15,14,58,62.37,1.01,483.79,合格
15,15,60,57.91,1.15,504.06,合格
15,17,57,62.42,1.02,492.88,合格
15,16,58,62.61,1.06,494.09,合格
15,17,58,62.63,1.07,510.29,合格
15,18,61,61.29,0.98,489.96,不合格
15,16,62,58.00,1.05,483.98,合格
15,17,59,62.11,1.05,506.34,合格
15,18,60,62.97,1.08,488.17,合格
15,15,60,62.29,1.08,517.75,合格
15,16,62,62.40,1.04,518.64,合格
15,16,58,57.26,1.19,487.14,合格
15,18,62,57.57,1.06,519.92,合格
15,14,61,59.13,1.10,497.93,不合格
15,14,57,57.31,1.09,512.12,合格
15,16,58,60.17,0.95,509.97,不合格
15,15,62,62.54,1.13,489.70,合格
15,18,61,60.85,1.01,489.52,不合格
15,14,57,60.16,1.04,513.64,不合格
15,14,61,61.40,1.08,490.59,不合格
15,16,61,62.63,1.01,514.68,不合格
15,18,60,62.24,0.92,510.36,合格
15,15,62,59.14,0.95,500.76,不合格
15,14,59,60.56,1.00,494.41,不合格
15,14,59,62.46,1.17,505.39,合格
15,14,61,62.96,1.13,507.93,合格
15,17,58,59.02,1.07,515.84,不合格
15,18,63,59.02,1.14,490.05,不合格
15,15,61,60.98,1.04,515.75,不合格
15,14,62,61.72,0.99,489.25,不合格
15,14,60,62.85,1.10,485.47,合格
15,14,59,57.84,1.07,507.21,合格
15,15,57,62.85,1.08,507.65,合格
15,18,62,58.99,1.12,505.73,不合格
15,15,60,59.66,1.03,510.22,不合格
15,16,58,62.03,1.07,513.27,合格
15,16,60,60.76,1.06,507.24,不合格
15,17,61,62.50,0.91,490.95,合格
15,17,61,57.49,1.15,495.05,不合格
15,17,61,57.56,1.00,484.58,不合格
15,18,63,62.12,1.15,525.00,合格
15,15,58,62.98,1.10,513.58,不合格
15,18,59,58.67,1.05,482.42,不合格
15,16,57,61.22,1.07,504.88,不合格
15,17,59,57.61,1.02,499.70,合格
15,17,63,61.73,1.08,493.04,不合格
15,16,61,58.29,1.10,485.13,不合格
15,15,61,57.24,1.02,481.84,合格
15,18,60,57.00,1.14,511.47,合格
15,17,57,62.64,1.15,489.38,不合格
15,16,59,62.30,1.14,493.94,不合格
15,16,62,62.56,0.98,491.17,合格
15,17,62,59.08,1.07,488.02,不合格
15,16,63,62.90,1.17,479.60,合格
15,16,59,62.51,0.92,477.75,合格
15,15,63,57.43,1.13,489.86,不合格
15,17,62,62.19,1.06,522.53,合格
15,15,57,62.55,1.08,505.26,不合格
15,15,62,62.27,1.20,518.79,合格
15,16,58,58.25,1.04,519.28,不合格
15,17,59,61.43,0.97,484.92,不合格
15,14,61,57.79,1.11,487.74,合格
15,15,62,60.22,1.05,514.44,不合格
15,15,63,61.72,1.10,514.13,不合格
15,16,57,60.62,1.15,512.59,不合格
15,17,59,59.45,1.03,483.23,不合格
15,14,62,57.18,0.91,518.52,合格
15,15,61,58.85,1.02,496.76,不合格
15,15,59,62.03,1.11,518.38,合格
15,16,62,60.21,1.12,512.07,不合格
15,16,60,60.14,1.09,508.67,不合格
15,14,60,60.85,0.99,499.20,不合格
15,16,63,62.03,1.07,511.06,合格
15,14,63,62.48,0.95,494.38,合格
15,18,57,57.46,1.15,511.81,不合格
15,14,63,60.51,1.10,506.34,不合格
15,18,59,57.17,1.13,493.88,合格
15,18,61,57.40,0.98,481.54,不合格
15,16,63,57.13,1.09,482.13,合格
15,15,60,58.69,1.02,488.80,不合格
15,18,59,62.71,1.20,482.02,合格
15,16,60,57.43,1.12,520.35,合格
15,16,61,60.09,1.02,501.14,不合格
15,14,58,57.37,0.99,480.14,合格
15,18,61,57.90,0.98,517.74,合格
15,15,59,59.42,1.12,498.13,不合格
15,16,60,62.62,0.92,515.25,合格
15,17,60,62.37,1.12,516.90,合格
15,14,57,60.61,1.12,483.84,不合格
15,17,63,60.19,1.07,518.01,不合格
15,15,59,62.76,1.02,480.32,合格
15,17,58,57.55,1.13,504.39,不合格
15,14,62,57.97,1.08,499.08,合格
15,15,63,61.71,1.12,495.74,不合格
15,17,60,62.87,1.20,486.93,合格
15,14,59,60.35,1.00,498.85,不合格
15,18,59,62.40,1.09,490.07,合格
15,14,61,62.37,0.97,511.27,合格
15,16,60,62.48,1.06,499.93,不合格
15,17,61,60.47,0.99,513.14,不合格
15,15,62,58.72,1.03,496.06,不合格
15,16,61,59.67,1.04,499.16,不合格
15,18,59,57.90,1.18,513.40,合格
15,18,61,61.53,1.03,490.04,不合格
15,17,61,57.81,0.93,503.50,合格
15,18,58,61.71,1.06,516.49,不合格
15,18,60,57.81,1.02,481.37,合格
15,16,59,62.74,1.06,481.09,合格
15,14,62,57.59,1.06,476.94,合格
15,18,62,57.84,1.06,513.75,合格
15,14,57,60.45,1.10,501.78,不合格
15,14,57,57.94,1.09,482.17,不合格
15,15,58,62.78,1.15,522.56,合格
15,16,60,57.97,1.02,479.06,合格
15,17,59,59.40,0.97,502.45,不合格
15,15,58,57.05,0.97,479.50,合格
15,18,57,61.81,1.06,503.91,不合格
15,17,63,58.79,1.12,490.16,不合格
15,16,59,62.86,1.00,481.37,合格
15,17,59,60.96,1.03,483.74,不合格
15,18,62,58.31,1.02,511.10,不合格
15,16,58,59.90,1.01,511.42,不合格
15,16,59,62.19,1.02,509.88,合格
15,18,61,60.85,1.13,512.42,不合格
15,17,57,60.37,1.01,484.99,不合格
15,14,63,62.69,0.97,483.70,不合格
15,14,60,62.13,1.06,478.52,合格
15,18,61,62.29,0.99,491.78,合格
15,14,59,57.83,1.15,506.57,合格
15,14,58,57.04,1.14,524.01,合格
15,16,59,57.84,1.06,515.14,合格
15,14,61,61.00,1.12,514.39,不合格
15,16,63,61.33,0.97,491.47,不合格
15,16,63,61.15,1.05,517.65,不合格
15,15,57,57.88,0.97,478.73,合格
15,15,59,60.40,1.11,487.04,不合格
15,17,58,62.74,1.02,509.38,合格
15,15,58,60.16,1.03,515.76,不合格
15,15,62,57.84,1.20,518.96,合格
15,16,61,62.49,1.00,481.56,不合格
15,16,62,57.57,0.99,511.70,合格
15,17,59,62.41,0.99,517.32,合格
15,18,62,57.45,1.03,476.30,合格
15,17,60,57.84,1.01,500.02,不合格
15,17,60,57.05,1.08,479.27,合格
15,16,59,58.83,1.08,493.10,不合格
15,15,60,62.57,1.20,502.91,合格
15,18,58,58.52,1.09,499.30,不合格
15,15,57,62.68,1.04,489.78,合格
15,18,62,62.86,1.09,510.52,合格
15,16,61,62.71,1.13,511.50,合格
15,18,62,62.41,0.90,489.04,合格
15,15,59,61.58,0.96,494.22,不合格
